type,cost,name,text,damage
Fire,"['Fire']","Power Heater","Choose 2 of your Benched Pok\u00e9mon. Attach a Fire Energy card from your discard pile to each of those Pok\u00e9mon.","20"
Fire,"['Fire', 'Fire', 'Fire']","Steam Artillery","","100"
Fire,"['Fire']","Eruption","Each player discards the top card of his or her deck. This attack does 20 damage times the number of Energy cards discarded in this way.","20\u00d7"
Fire,"['Fire', 'Colorless', 'Colorless']","Combustion","","30"
Fire,"['Colorless']","Meteor Punch","Flip a coin until you get tails. This attack does 30 damage times the number of heads.","30\u00d7"
Fire,"['Fire', 'Fire']","Flare Blitz","Discard all Fire Energy attached to Infernape.","90"
Fire,"['Colorless']","Scratch","","10"
Fire,"['Fire', 'Colorless']","Ember","Discard 1 Energy card attached to Charmander in order to use this attack.","30"
Fire,"['Colorless']","Sand-Attack","If the Defending Pok\u00e9mon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.","20"
Fire,"['Fire', 'Colorless', 'Colorless']","Fire Slash","You may discard a Fire Energy attached to this Pok\u00e9mon. If you do, this attack does 30 more damage.","60+"
Fire,"['Fire', 'Colorless']","Blaze Kick","Flip a coin. If heads, this attack does 30 more damage. If tails, the Defending Pok\u00e9mon is now Burned.","40+"
Fire,"['Fire', 'Fire', 'Colorless']","Flamethrower","Discard an Energy attached to this Pok\u00e9mon.","130"
Fire,"['Fire', 'Colorless', 'Colorless']","Hard Crush","Discard the top 3 cards from your deck. This attack does 50 damage times the number of Energy cards you discarded.","50\u00d7"
Fire,"['Fire', 'Fire', 'Colorless', 'Colorless']","Mantle Bazooka","Discard 2 Fire Energy attached to Magmortar.","100"
Fire,"['Fire']","Peck","","10"
Fire,"['Fire', 'Colorless']","Live Coal","","20"
Fire,"['Colorless']","Confuse Ray","Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.",""
Fire,"['Fire', 'Colorless']","Ember","Discard a Fire Energy attached to Vulpix.","30"
Fire,"['Fire', 'Colorless']","Fire Fang","The Defending Pok\u00e9mon is now Burned.","30"
Fire,"['Fire', 'Fire', 'Colorless']","Grand Flame","Attach a Fire Energy card from your discard pile to 1 of your Benched Pok\u00e9mon.","90"
Fire,"['Colorless']","Collect","Draw a card.",""
Fire,"['Fire']","Combustion","","10"
Fire,"['Colorless']","Magma Ring","The Defending Pok\u00e9mon can't retreat during your opponent's next turn.","10"
Fire,"['Fire', 'Colorless']","Flare","","20"
Fire,"['Fire']","Flame Dance","Search your discard pile for a Fire Energy card and attach it to Monferno.","30"
Fire,"['Colorless', 'Colorless']","Fury Swipes","Flip 3 coins. This attack does 20 damage times the number of heads.","20\u00d7"
Fire,"['Fire']","Super Singe","The Defending Pok\u00e9mon is now Burned.",""
Fire,"['Fire', 'Colorless']","Stomp","Flip a coin. If heads, this attack does 30 damage plus 10 more damage.","30+"
Fire,"['Fire', 'Colorless']","Ember","Discard a Fire Energy card attached to Bagon.","30"
Fire,"['Colorless']","Flame Tail","","30"
Fire,"['Fire', 'Fire', 'Colorless']","Flamethrower","Discard an Energy attached to Flareon.","90"
Fire,"['Free']","Play with Fire","The Defending Pok\u00e9mon is now Burned. Magby is now Asleep.",""
Fire,"['Colorless']","Tackle","","10"
Fire,"['Fire', 'Fire']","Flame Tail","","30"
Fire,"['Fire']","Fireworks","Flip a coin. If tails, discard a Fire Energy attached to Cyndaquil.","20"
Fire,"['Fire']","Live Coal","","10"
Fire,"['Fire', 'Colorless']","Magma Punch","","20"
Fire,"['Colorless', 'Colorless']","Hind Kick","If you have any Benched Pok\u00e9mon, flip a coin. If heads, switch Blaine's Ponyta with 1 of your Benched Pok\u00e9mon.","20"
Fire,"['Fire', 'Colorless', 'Colorless']","Flame Ball","Move a basic Energy from this Pok\u00e9mon to 1 of your Benched Pok\u00e9mon.","60"
Fire,"['Fire', 'Fire', 'Colorless']","Combustion","","40"
Fire,"['Fire', 'Fire', 'Fire', 'Colorless', 'Colorless']","Shining Flame","This Pok\u00e9mon can't use Shining Flame during your next turn.","160"
Fire,"['Colorless']","Dig Deep","Search your discard pile for an Energy card, show it to your opponent, and put it into your hand.",""
Fire,"['Fire', 'Colorless']","Extra Claws","If the Defending Pok\u00e9mon is Pok\u00e9mon-ex, this attack does 30 damage plus 20 more damage.","30+"
Fire,"['Fire', 'Colorless', 'Colorless']","Concentrated Fire","Flip a coin for each Fire Energy attached to this Pok\u00e9mon. This attack does 50 damage times the number of heads.","50\u00d7"
Fire,"['Fire', 'Colorless', 'Colorless', 'Colorless']","Combustion Impact","Your opponent switches his or her Active Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.","100"
Fire,"['Colorless']","Burning Venom","The Defending Pok\u00e9mon is now Burned and Poisoned.",""
Fire,"['Fire', 'Fire', 'Colorless']","Strangle","If the Defending Pok\u00e9mon has \u03b4 on its card, this attack does 50 damage plus 30 more damage.","50+"
Fire,"['Fire', 'Colorless']","Magma Mantle","You may discard the top card of your deck. If that card is a Fire Energy card, this attack does 50 more damage.","30+"
Fire,"['Fire', 'Fire', 'Colorless']","Heat Blast","","80"
Fire,"['Colorless']","Clairvoyant Eye","Look at the top 3 cards of your deck and put them back on top of your deck in any order.",""
Fire,"['Fire', 'Colorless']","Fire Tail Slap","Discard a Fire Energy attached to this Pok\u00e9mon.","40"
Fire,"['Colorless', 'Colorless', 'Colorless']","Blaze Ball","This attack does 20 more damage for each Fire Energy attached to this Pok\u00e9mon.","50+"
Fire,"['Fire']","Flare","","10"
Fire,"['Colorless', 'Colorless']","Rage","Does 10 damage plus 10 more damage for each damage counter on Charmander.","10+"
Fire,"['Colorless']","Flame Charge","Search your deck for a Fire Energy card and attach it to this Pok\u00e9mon. Shuffle your deck afterward.",""
Fire,"['Fire', 'Colorless']","Fire Wing","","30"
Fire,"['Fire']","Smokescreen","If the Defending Pok\u00e9mon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.","10"
Fire,"['Fire', 'Colorless']","Fireworks","Flip a coin. If tails, discard a Fire Energy card attached to Charmeleon.","40"
Fire,"['Colorless']","Devastating Wind","Your opponent shuffles his or her hand into his or her deck and draws 4 cards.",""
Fire,"['Fire', 'Fire']","Flare Blitz","Discard all Fire Energy attached to this Pok\u00e9mon.","100"
Fire,"['Fire', 'Colorless']","Collect Fire","Flip a coin. If heads, search your discard pile for 2 Fire Energy cards and attach them to Charizard (1 if there is only 1).","30"
Fire,"['Fire', 'Colorless', 'Colorless', 'Colorless']","Flame Pillar","You may discard a Fire Energy card attached to Charizard. If you do, choose 1 of your opponent's Benched Pok\u00e9mon and do 30 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","60"
Fire,"['Colorless']","Searing Flame","The Defending Pok\u00e9mon is now Burned.","10"
Fire,"['Free']","Damage Burn","If the Defending Pok\u00e9mon already has any damage counters on it, this attack does 50 damage plus 20 more damage.","50+"
Fire,"['Free']","Scratch","","10"
Fire,"['Fire', 'Colorless']","Ember","Flip a coin. If tails, discard a Fire Energy attached to Chimchar.","30"
Fire,"['Fire']","Super Singe","Flip a coin. If heads, the Defending Pok\u00e9mon is now Burned.","10"
Fire,"['Fire']","Singe","Flip a coin. If heads, the Defending Pok\u00e9mon is now Burned.",""
Fire,"['Colorless', 'Colorless']","Heat Tackle","Slugma does 10 damage to itself.","30"
Fire,"['Fire']","Ram","","10"
Fire,"['Fire', 'Colorless']","Ember","Discard a Fire Energy attached to this Pok\u00e9mon.","30"
Fire,"['Fire']","Fire Wing","","30"
Fire,"['Fire', 'Fire', 'Colorless']","Burning Tail","Discard a Fire Energy attached to Charizard.","80"
Fire,"['Fire', 'Colorless']","Take Down","This Pok\u00e9mon does 10 damage to itself.","30"
Fire,"['Colorless', 'Colorless']","Searing Flame","The Defending Pok\u00e9mon is now Burned.","30"
Fire,"['Fire', 'Fire', 'Colorless']","Eruption","Each player discards the top card of his or her deck. This attack does 60 damage plus 20 more damage for each Energy card discarded in this way.","60"
Fire,"['Colorless']","Power Generation","Search your discard pile for up to 2 basic Energy cards, show them to your opponent, and put them into your hand.",""
Fire,"['Fire']","Scorching Smoke","The Defending Pok\u00e9mon is now Burned. Flip a coin. If tails, discard a Fire Energy card attached to Torkoal.",""
Fire,"['Fire', 'Fire', 'Colorless']","Flare","","60"
Fire,"['Colorless']","Rear Kick","","10"
Fire,"['Fire', 'Colorless']","Flare","","20"
Fire,"['Fire', 'Colorless']","Flickering Flames","The Defending Pok\u00e9mon is now Asleep.","20"
Fire,"['Fire', 'Colorless', 'Colorless']","Smack","","40"
Fire,"['Fire', 'Colorless']","Agility","Flip a coin. If heads, prevent all effects of an attack, including damage, done to Swellow during your opponent's next turn.","30"
Fire,"['Colorless', 'Colorless']","Quick Attack","Flip a coin. If heads, this attack does 10 damage plus 20 more damage.","10+"
Fire,"['Fire', 'Colorless', 'Colorless']","Combustion","","40"
Fire,"['Fire', 'Colorless', 'Colorless']","Flame Ball","You may move a Fire Energy card attached to Gardevoir ex to 1 of your Benched Pok\u00e9mon.","80"
Fire,"['Fire']","Smog","The Defending Pok\u00e9mon is now Poisoned.",""
Fire,"['Colorless']","Rollout","","10"
Fire,"['Fire']","Kindle","Discard a Fire Energy card attached to Numel and then discard an Energy card attached to the Defending Pok\u00e9mon.","10"
Fire,"['Fire']","Firebreathing","Flip a coin. If heads, this attack does 10 damage plus 10 more damage.","10+"
Fire,"['Colorless', 'Colorless']","Tackle","","20"
Fire,"['Colorless']","Ram","","10"
Fire,"['Fire', 'Colorless']","Luring Flame","Switch 1 of your opponent's Benched Pok\u00e9mon with 1 of the Defending Pok\u00e9mon. Your opponent chooses the Defending Pok\u00e9mon to switch. The new Defending Pok\u00e9mon is now Burned.",""
Fire,"['Colorless', 'Colorless']","Outrage","Does 10 more damage for each damage counter on this Pok\u00e9mon.","20+"
Fire,"['Fire', 'Fire', 'Colorless']","Blue Flare","Discard 2 Fire Energy attached to this Pok\u00e9mon.","120"
Fire,"['Fire']","Collect Fire","If there are any Energy cards in your discard pile, flip a coin. If heads, attach 1 of them to Vulpix.","10"
Fire,"['Fire']","Live Coal","","10"
Fire,"['Fire', 'Colorless']","Magma Punch","","20"
Fire,"['Fire', 'Colorless']","Super Singe","Flip a coin. If heads, the Defending Pok\u00e9mon is now Burned.","20"
Fire,"['Fire', 'Colorless', 'Colorless']","Ram","","50"
Fire,"['Fire']","Flare","","10"
Fire,"['Fire', 'Colorless']","Rollout","","20"
Fire,"['Colorless', 'Colorless', 'Colorless']","Rainbow Burn","Does 20 more damage for each different type of basic Energy attached to this Pok\u00e9mon.","20+"
Fire,"['Colorless', 'Colorless', 'Colorless']","Color Coordination","If this Pok\u00e9mon has any basic Energy attached to it that is the same type as the Defending Pok\u00e9mon, this attack does 40 more damage.","50+"
Fire,"['Fire', 'Colorless', 'Colorless']","Flamethrower","Discard an Energy attached to this Pok\u00e9mon.","70"
Fire,"['Colorless', 'Colorless']","Outrage","Does 10 more damage for each damage counter on this Pok\u00e9mon.","20+"
Fire,"['Fire', 'Fire', 'Colorless']","Blue Flare","Discard 2 Fire Energy attached to this Pok\u00e9mon.","120"
Fire,"['Fire', 'Fire', 'Colorless', 'Colorless']","Heat Crash","","80"
Fire,"['Free']","Tackle","","10"
Fire,"['Fire', 'Colorless']","Live Coal","","20"
Fire,"['Fire', 'Colorless']","Flare","","30"
Fire,"['Fire', 'Colorless', 'Colorless']","Damage Burn","If the Defending Pok\u00e9mon has already any damage counters on it, this attack does 40 damage plus 20 more damage.","40+"
Fire,"['Fire']","Combustion","","20"
Fire,"['Fire', 'Fire', 'Colorless', 'Colorless']","Flying Flare","You may do 40 more damage. If you do, this Pok\u00e9mon does 20 damage to itself.","80+"
Fire,"['Fire']","Fireworks","Flip a coin. If tails, discard a Fire Energy attached to Vulpix.","20"
Fire,"['Colorless', 'Colorless', 'Colorless']","Rainbow Burn","Does 10 damage plus 20 more damage for each type of basic Energy card attached to Ho-Oh ex.","10+"
Fire,"['Colorless']","Fury Swipes","Flip 3 coins. This attack does 10 damage times the number of heads.","10\u00d7"
Fire,"['Fire', 'Colorless']","Firebreathing","Flip a coin. If heads, this attack does 30 more damage.","10+"
Fire,"['Colorless']","Delta Search","Search your deck for a Holon Energy card and attach it to Flareon. Shuffle your deck afterward.","10"
