type,cost,name,text,damage
Water,"['Water']","Mat Block","Flip a coin. If heads, discard an Energy attached to your opponent's Active Pok\u00e9mon.","40"
Water,"['Water', 'Water', 'Colorless']","Aqua Edge","","80"
Water,"['Water', 'Colorless']","Water Gun","","20"
Water,"['Water', 'Colorless']","Powder Snow","The Defending Pok\u00e9mon is now Asleep.","20"
Water,"['Water', 'Colorless', 'Colorless']","Double-edge","Glalie does 10 damage to itself.","60"
Water,"['Colorless']","Call for Family","Search your deck for a Basic Pok\u00e9mon and put it onto your Bench. Shuffle your deck afterward.",""
Water,"['Water', 'Water']","Aqua Ring","Switch Manaphy with 1 of your Benched Pok\u00e9mon.","30"
Water,"['Water']","Spacial Rend","Search your deck for a Stadium card, show it to your opponent, and put it into your hand. Shuffle your deck afterward. If there is any Stadium card in play, discard it.","10"
Water,"['Water', 'Water', 'Colorless']","Transback","You may flip a coin. If heads, discard all Energy attached to Palkia and put the Defending Pok\u00e9mon and all cards attached to it on top of your opponent's deck. Your opponent shuffles his or her deck afterward.","40"
Water,"['Water']","Healing Pirouette","Heal 30 damage from each of your Pok\u00e9mon.",""
Water,"['Water', 'Water', 'Colorless']","Incessant Peck","Flip a coin until you get tails. This attack does 20 more damage for each heads.","60+"
Water,"['Colorless', 'Colorless']","Guard Press","During your opponent's next turn, any damage done to this Pok\u00e9mon by attacks is reduced by 20 (after applying Weakness and Resistance).","20"
Water,"['Fire', 'Fire', 'Water', 'Colorless']","Dragon Claw","","90"
Water,"['Colorless', 'Colorless', 'Colorless']","Slash","","60"
Water,"['Water', 'Water', 'Lightning', 'Colorless']","Black Ballista","Discard 3 Energy attached to this Pok\u00e9mon.","200"
Water,"['Colorless', 'Colorless', 'Colorless']","Slash","","60"
Water,"['Fire', 'Fire', 'Water', 'Colorless']","White Inferno","Does 10 more damage for each damage counter on this Pok\u00e9mon.","100+"
Water,"['Water']","Influence","Search your deck for Omanyte, Kabuto, Aerodactyl, Lileep, or Anorith and put up to 2 of them onto your Bench. Shuffle your deck afterward. Treat the new Benched Pok\u00e9mon as Basic Pok\u00e9mon.",""
Water,"['Colorless', 'Colorless']","Mud Shot","","20"
Water,"['Water', 'Colorless']","Screw Tail","Flip a coin. If heads, discard an Energy attached to the Defending Pok\u00e9mon.","30"
Water,"['Water', 'Water']","Water Gun","Does 40 damage plus 20 more damage for each Water Energy attached to Floatzel but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way.","40+"
Water,"['Colorless']","Pebble Throw","Choose 1 of your opponent's Benched Pok\u00e9mon. This attack does 10 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Water', 'Colorless']","Double Headbutt","Flip 2 coins. This attack does 20 damage times the number of heads.","20\u00d7"
Water,"['Colorless']","Defense Curl","Flip a coin. If heads, prevent all damage done to Spheal during your opponent's next turn.",""
