type,description
Fighting,"['Colorless'],Headbutt,'',10"
Fighting,"['Fighting', 'Colorless'],Bonemerang,'Flip 2 coins. This attack does 20 damage times the number of heads.',20\u00d7"
Grass,"['Grass'],Absorb,'Remove 1 damage counter from Turtwig.',10"
Grass,"['Grass', 'Colorless', 'Colorless'],Parboil,'If you have Chimchar in play, this attack does 40 damage plus 20 more damage and the Defending Pok\u00e9mon is now Burned.',40+"
Grass,"['Grass'],Windmill,'Switch this Pok\u00e9mon with 1 of your Benched Pok\u00e9mon.',20"
Grass,"['Grass', 'Colorless'],Flower Tornado,'Move as many Grass Energy attached to your Pok\u00e9mon to your other Pok\u00e9mon in any way you like.',60"
Fighting,"['Fighting', 'Colorless'],Knock Off,'Choose 1 card from your opponent's hand without looking and discard it.',40"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Pivot Throw,'During your opponent's next turn, any damage done to Hariyama ex by attacks is increased by 10 (before applying Weakness and Resistance).',80"
Colorless,"['Fairy'],Geomancy,'Choose 2 of your Benched Pok\u00e9mon. For each of those Pok\u00e9mon, search your deck for a Fairy Energy card and attach it to that Pok\u00e9mon. Shuffle your deck afterward.',"
Colorless,"['Fairy', 'Fairy', 'Colorless'],Rainbow Spear,'Discard an Energy attached to this Pok\u00e9mon.',100"
Fighting,"['Colorless', 'Colorless', 'Colorless'],Metal Claw,'',50"
Fighting,"['Metal', 'Metal', 'Colorless', 'Colorless'],Mix-Up,'Your opponent discards the top card of his or her deck.',70"
Grass,"['Grass', 'Grass'],Take Down,'This Pok\u00e9mon does 10 damage to itself.',30"
Psychic,"['Free'],Show Off,'Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.',"
Psychic,"['Psychic'],Payback,'If your opponent has only 1 Prize card left, this attack does 10 damage plus 20 more damage.',10+"
Water,"['Water'],Mat Block,'Flip a coin. If heads, discard an Energy attached to your opponent's Active Pok\u00e9mon.',40"
Water,"['Water', 'Water', 'Colorless'],Aqua Edge,'',80"
Water,"['Water', 'Colorless'],Water Gun,'',20"
Lightning,"['Lightning', 'Colorless'],Magnetic Force,'Does 10 damage times the amount of Energy attached to all of your Pok\u00e9mon (including Magneton).',10\u00d7"
Psychic,"['Darkness'],Peck,'',10"
Psychic,"['Darkness', 'Colorless'],Hard Bite,'Flip a coin. If heads, this attack does 20 more damage.',40+"
Fighting,"['Metal'],Pierce,'',10"
Fighting,"['Colorless', 'Colorless'],Cut,'',20"
Grass,"['Colorless'],Tackle,'',10"
Grass,"['Grass', 'Colorless'],Selfdestruct,'This attack does 10 damage to each Benched Pok\u00e9mon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.) Pineco does 50 damage to itself.',40"
Water,"['Water', 'Colorless'],Powder Snow,'The Defending Pok\u00e9mon is now Asleep.',20"
Water,"['Water', 'Colorless', 'Colorless'],Double-edge,'Glalie does 10 damage to itself.',60"
Fire,"['Fire'],Power Heater,'Choose 2 of your Benched Pok\u00e9mon. Attach a Fire Energy card from your discard pile to each of those Pok\u00e9mon.',20"
Fire,"['Fire', 'Fire', 'Fire'],Steam Artillery,'',100"
Lightning,"['Colorless'],Thunder Rod,'Look at the top 4 cards of your deck and attach as many Lightning Energy cards you find there as you like to this Pok\u00e9mon. Shuffle the other cards back into your deck.',"
Lightning,"['Lightning', 'Lightning', 'Colorless', 'Colorless'],Sparkling Tail,'This attack's damage isn't affected by Weakness, Resistance, or any other effects on your opponent's Active Pok\u00e9mon.',100"
Fire,"['Fire'],Eruption,'Each player discards the top card of his or her deck. This attack does 20 damage times the number of Energy cards discarded in this way.',20\u00d7"
Fire,"['Fire', 'Colorless', 'Colorless'],Combustion,'',30"
Fighting,"['Metal', 'Colorless'],Granite Head,'During your opponent's next turn, any damage done to Lairon by attacks is reduced by 10 (after applying Weakness and Resistance).',20"
Fighting,"['Colorless', 'Colorless', 'Colorless'],Stomp,'Flip a coin. If heads, this attack does 30 damage plus 20 more damage.',30+"
Psychic,"['Psychic', 'Psychic', 'Colorless'],Hard Feelings,'Put 5 damage counters on the Defending Pok\u00e9mon. Then, count the number of Prize cards your opponent has taken and put that many damage counters on the Defending Pok\u00e9mon.',"
Colorless,"['Fairy'],Draining Kiss,'Heal 10 damage from this Pok\u00e9mon.',10"
Colorless,"['Colorless'],Slash,'',30"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Rock Smash,'Flip a coin. If heads, this attack does 30 more damage.',10+"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless'],Strength,'',70"
Psychic,"['Darkness'],Corner,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',"
Psychic,"['Colorless', 'Colorless'],Ambush,'Flip a coin. If heads, this attack does 10 damage plus 20 more damage.',10+"
Lightning,"['Lightning', 'Lightning', 'Lightning', 'Colorless'],Giga Impact,'You may discard all\u00a0 Lightning Energy attached to Electivire. If you do, this attack's base damage is 120 instead of 60.',60"
Fire,"['Colorless'],Meteor Punch,'Flip a coin until you get tails. This attack does 30 damage times the number of heads.',30\u00d7"
Fire,"['Fire', 'Fire'],Flare Blitz,'Discard all Fire Energy attached to Infernape.',90"
Psychic,"['Colorless'],Hidden Power,'',10"
Colorless,"['Colorless'],Upstream,'Search your discard pile for all Energy cards. This attack does 10 damage times the number of Energy cards you find there. Show them to your opponent, and put them on top of your deck. Shuffle your deck afterward.',10\u00d7"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Tail Slap,'',60"
Grass,"['Grass'],Leaf Shade,'Count the amount of Energy attached to Celebi Star. Put that many damage counters on 1 of your opponent's Pok\u00e9mon.',"
Fighting,"['Colorless'],Feint,'This attack's damage isn't affected by Resistance.',30"
Fighting,"['Fighting', 'Fighting'],Aura Sphere,'Does 20 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',40"
Fighting,"['Metal', 'Colorless'],Extra Comet Punch,'During your next turn, Extra Comet Punch does 30 damage plus 30 more damage.',30+"
Grass,"['Grass', 'Grass', 'Colorless', 'Colorless'],Poison Powder,'The Defending Pok\u00e9mon is now Poisoned.',70"
Colorless,"['Colorless', 'Colorless'],Jump On,'Flip a coin. If heads, this attack does 20 more damage.',20+"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Rollout,'',60"
Colorless,"['Colorless', 'Colorless'],Tackle,'',20"
Fighting,"['Colorless'],Nap,'Heal 20 damage from this Pok\u00e9mon.',"
Fighting,"['Water', 'Colorless'],Wave Splash,'',20"
Grass,"['Grass'],String Shot,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',10"
Lightning,"['Lightning', 'Lightning', 'Lightning', 'Lightning'],Lightning Star,'Move all Lightning Energy attached to Luxray to 1 of your Benched Pok\u00e9mon. (Ignore this effect if you don't have any Benched Pok\u00e9mon.)',80"
Fighting,"['Water', 'Colorless'],Wave Splash,'',30"
Fighting,"['Water', 'Colorless', 'Colorless'],Landslide,'This attack's damage isn't affected by Resistance.',80"
Grass,"['Grass'],Lure Poison,'Switch the Defending Pok\u00e9mon with 1 of your opponent's Benched Pok\u00e9mon. The new Defending Pok\u00e9mon is now Poisoned.',"
Grass,"['Grass', 'Grass', 'Colorless'],Spit Squall,'Your opponent puts the Defending Pok\u00e9mon and all cards attached to it into his or her hand.',"
Fighting,"['Metal', 'Colorless', 'Colorless'],Metal Blast,'Does 50 damage plus 10 more damage for each Metal Energy attached to Magnezone.',50+"
Fire,"['Colorless'],Scratch,'',10"
Fire,"['Fire', 'Colorless'],Ember,'Discard 1 Energy card attached to Charmander in order to use this attack.',30"
Colorless,"['Colorless', 'Colorless'],Fairy Power,'Return 1 of your Pok\u00e9mon and all cards attached to it to your hand.',"
Colorless,"['Colorless', 'Colorless'],Moon Impact,'',40"
Grass,"['Colorless'],Quick Attack,'Flip a coin. If heads, this attack does 30 more damage.',10+"
Grass,"['Grass', 'Colorless'],Energy Assist,'Attach a basic Energy card from your discard pile to 1 of your Benched Pok\u00e9mon.',40"
Water,"['Colorless'],Call for Family,'Search your deck for a Basic Pok\u00e9mon and put it onto your Bench. Shuffle your deck afterward.',"
Water,"['Water', 'Water'],Aqua Ring,'Switch Manaphy with 1 of your Benched Pok\u00e9mon.',30"
Grass,"['Grass', 'Colorless'],Cut,'',30"
Grass,"['Grass', 'Colorless', 'Colorless'],Heavy Bullet,'Flip a coin. If heads, this attack does 20 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',70"
