type,name
Fighting, Cubone
Grass, Turtwig
Grass, Bellossom
Fighting, Hariyama ex
Colorless, Xerneas
Fighting, Aggron
Grass, Skiddo
Psychic, Misdreavus
Water, Greninja
Water, Clauncher
Lightning, Magneton
Psychic, Inkay
Psychic, Mightyena
Fighting, Pawniard
Grass, Pineco
Water, Glalie
Fire, Volcanion
Lightning, Ampharos-EX
Fire, Magmar
Fighting, Lairon
Psychic, Dusknoir
Colorless, Swirlix
Colorless, Farfetch'd
Colorless, Snorlax
Psychic, Poochyena
Lightning, Electivire
Fire, Infernape
Psychic, Unown
Colorless, Delcatty ex
Grass, Celebi Star
Fighting, Lucario
Fighting, Metang
Grass, Venusaur
Colorless, Skitty
Colorless, Bidoof
Colorless, Bunnelby
Fighting, Wooper
Grass, Caterpie
Lightning, Luxray
Fighting, Quagsire
Grass, Carnivine
Fighting, Magnezone
Fire, Charmander
Colorless, Clefable
Grass, Leafeon
Water, Manaphy
Grass, Crustle
Fighting, Forretress
Psychic, Deoxys
Grass, Karrablast
Fighting, Marowak
Psychic, Espeon
Fighting, Diglett
Psychic, Drowzee
Grass, Koffing
Fire, Flareon
Water, Palkia
Colorless, Vigoroth
Fighting, Groudon
Fire, Blaziken
Fighting, Rhyperior
Psychic, Baltoy
Fighting, Gliscor
Psychic, Dusclops
Grass, Cacnea
Colorless, Togekiss
Grass, Roserade
Psychic, Skuntank
Psychic, Shedinja
Colorless, Dodrio
Colorless, Staraptor
Psychic, Drifloon
Colorless, Slaking
Grass, Shelmet
Psychic, Drifblim
Psychic, Nidoqueen
Colorless, Bibarel
Lightning, Magnemite
Water, Swanna
Lightning, Jolteon
Fighting, Cobalion-EX
Water, Druddigon
Psychic, Drapion
Lightning, Chinchou
Lightning, Raikou-EX
Lightning, Eelektrik
Grass, Dustox
Water, Black Kyurem-EX
Water, White Kyurem-EX
Grass, Leafeon
Psychic, Cofagrigus
Lightning, Magnemite
Fighting, Forretress
Water, Omanyte
Water, Floatzel
Psychic, Poochyena
Psychic, Nidoran♂
Psychic, Nidorino
Psychic, Krokorok
Fighting, Hariyama
Psychic, Honchkrow
Psychic, Honchkrow
Grass, Seedot
Grass, Heracross
Fire, Magmortar
Colorless, Slakoth
Colorless, Lopunny
Grass, Serperior
Water, Snorunt
Fighting, Skarmory
Water, Spheal
Fighting, Skarmory
Fighting, Machamp
Fire, Torchic
Psychic, Zorua
Fighting, Trapinch
Fighting, Medicham
Fire, Vulpix
Colorless, Rayquaza
Water, Lombre
Psychic, Bisharp
Colorless, Munchlax
Fighting, Primeape
Fighting, Klang
Water, Starmie
Colorless, Pidgeotto
Colorless, Vigoroth
Fighting, Klinklang
Colorless, Tornadus-EX
Lightning, Rotom
Colorless, Noctowl
Grass, Vileplume
Fire, Entei-EX
Water, Omastar
Lightning, Pachirisu
Psychic, Weavile
Psychic, Toxicroak
Psychic, Unown P
Psychic, Absol ex
Colorless, Happiny
Fighting, Riolu
Fighting, Metagross ex
Colorless, Rayquaza-EX
Fighting, Lairon
Water, Corphish
Psychic, Shiftry ex
Lightning, Electrike
Water, Goldeen
Grass, Surskit
Grass, Vespiquen
Fighting, Riolu
Colorless, Minccino
Grass, Seedot
Fire, Slugma
Water, M Swampert-EX
Grass, Beedrill δ
Fighting, Skarmory ex
Fire, Slugma
Fighting, Sudowoodo
Psychic, Weavile
Psychic, Nidoking
Lightning, Magnemite
Grass, Wurmple
Psychic, Wynaut
Fighting, Klink
Psychic, Tentacool
Water, Walrein ex
Fighting, Hippopotas
Colorless, Eevee
Fighting, Machoke
Fighting, Metang
Water, Misty's Seadra
Colorless, Gible
Colorless, Munchlax
Psychic, Tentacruel
Fighting, Magneton
Water, Starmie δ
Psychic, Grimer
Water, Blastoise-EX
Fire, Monferno
Psychic, Mightyena δ
Psychic, Muk
Water, Omanyte
Grass, Tangela
Grass, Venusaur-EX
Water, Prinplup
Psychic, Muk
Psychic, Meloetta-EX
Grass, Weezing
Grass, Tangrowth
Water, Horsea
Water, Seaking
Psychic, Deoxys ex
Lightning, Dragonair δ
Colorless, Raticate
Grass, Silcoon
Water, Misty's Staryu
Water, Croconaw
Fire, Rapidash
Grass, Scyther
Psychic, Unown C
Water, Slowbro
Fire, Bagon δ
Fighting, Ditto
Colorless, Bidoof
Lightning, Flaaffy
Fire, Flareon
Lightning, Dratini δ
Colorless, Togetic
Water, Buizel
Lightning, Holon's Voltorb
Grass, Koffing
Colorless, Cleffa
Psychic, Sabrina's Abra
Psychic, Unown
Water, Vaporeon
Lightning, Electabuzz
Fire, Magby
Water, Sandshrew
Water, Staryu
Water, Misty's Seel
Fighting, Zygarde
Water, Dragonite
Fighting, Aron
Water, Goldeen
Colorless, Aipom
Water, Latios
Fighting, Meditite
Water, Axew
Fighting, Onix
Psychic, Drifloon
Fire, Ponyta
Grass, Roselia
Water, Haxorus
Colorless, Eevee
Fighting, Breloom
Psychic, Sneasel
Water, Kyurem
Psychic, Stunky
Grass, Celebi
Psychic, Gastly
Psychic, Deoxys
Grass, Wurmple
Grass, Tropius
Fire, Cyndaquil
Colorless, Eevee
Water, Empoleon
Psychic, Grumpig
Fighting, Hitmonlee
Lightning, Manectric
Psychic, Grimer
Psychic, Mesprit
Fire, Magmar
Lightning, Minun
Water, Empoleon BREAK
Grass, Torterra
Fighting, Hitmonchan
Lightning, Plusle
Fire, Blaine's Ponyta
Fire, Team Magma's Camerupt
Water, Team Aqua's Sealeo
Lightning, Raichu
Water, Team Aqua's Kyogre-ex
Psychic, Team Aqua's Muk
Psychic, Houndour
Grass, Shroomish
Lightning, Magneton
Psychic, Murkrow
Fighting, Team Magma's Aron
Colorless, Slakoth
Psychic, Team Aqua's Poochyena
Fighting, Giovanni's Machop
Psychic, Murkrow
Grass, Pineco
Psychic, Alolan Marowak
Psychic, Starmie
Water, Slowpoke
Colorless, Snubbull
Fire, Slugma
Fighting, Skarmory
Psychic, Team Magma's Poochyena
Psychic, Team Aqua's Mightyena
Psychic, Sneasel
Colorless, Vibrava
Fire, Ho-Oh BREAK
Colorless, Latias Star
Fighting, Dialga
Colorless, Teddiursa
Psychic, Team Magma's Mightyena
Fighting, Forretress
Water, Empoleon
Water, Totodile
Colorless, Ampharos δ
Fire, Heracross δ
Fire, Volcanion
Water, Gyarados
Colorless, Swellow
Water, Feebas
Grass, Meganium
Fighting, Nidoqueen δ
Lightning, Raichu
Lightning, Pikachu-EX
Water, Whiscash
Water, Octillery
Fighting, Hitmonlee
Lightning, Mareep
Water, Mudkip
Psychic, Mismagius
Psychic, Ninetales δ
Grass, Snorlax δ
Fighting, Scizor
Psychic, Spoink
Grass, Venusaur-EX
Water, Corsola
Grass, Weedle
Grass, Kakuna
Grass, Illumise
Colorless, Miltank
Water, Lotad
Psychic, Shiftry
Psychic, Slowking
Grass, Quilladin
Colorless, Hoothoot
Grass, Chesnaught
Fighting, Onix
Grass, Beautifly
Water, Togetic δ
Grass, Carnivine
Psychic, Typhlosion δ
Fire, Arbok δ
Fighting, Cloyster δ
Colorless, Dewgong δ
Fighting, Machop
Grass, Spewpa
Water, Kingdra ex
Psychic, Gengar
Lightning, Gligar δ
Psychic, Espeon ex
Grass, Vivillon
Fighting, Ledian δ
Grass, Scyther
Psychic, Abra
Psychic, Treecko δ
Grass, Skiddo
Colorless, Skitty
Psychic, Drowzee
Lightning, Dark Electrode
Psychic, Mr. Mime
Water, Walrein
Grass, Gogoat
Psychic, Lickitung δ
Fire, Magcargo
Psychic, Woobat
Fighting, Bayleef δ
Colorless, Flaaffy δ
Fire, Braixen
Fire, Delphox
Fighting, Nidorina δ
Grass, Nidorina
Fire, Charmander
Fighting, Larvitar
Fire, Fletchinder
Fighting, Ledyba δ
Lightning, Pupitar δ
Psychic, Ralts
Lightning, Totodile δ
Fire, Charmeleon
Psychic, Vulpix δ
Fire, Talonflame
Grass, Grotle
Water, M Blastoise-EX
Water, Politoed ex
Lightning, Raikou Star
Fighting, Steelix ex
Water, Staryu
Psychic, Umbreon
Fire, Charizard
Water, Kyogre & Groudon LEGEND
Water, Greninja
Grass, Beedrill
Fire, Blaziken
Lightning, Zapdos
Psychic, Rocket's Persian ex
Lightning, Pikachu
Fighting, Riolu
Grass, Celebi ex
Water, Piloswine
Water, Manaphy
Lightning, Voltorb
