type,cost,name,text,damage
Colorless,"['Fairy']","Geomancy","Choose 2 of your Benched Pok\u00e9mon. For each of those Pok\u00e9mon, search your deck for a Fairy Energy card and attach it to that Pok\u00e9mon. Shuffle your deck afterward.",""
Colorless,"['Fairy', 'Fairy', 'Colorless']","Rainbow Spear","Discard an Energy attached to this Pok\u00e9mon.","100"
Colorless,"['Fairy']","Draining Kiss","Heal 10 damage from this Pok\u00e9mon.","10"
Colorless,"['Colorless']","Slash","","30"
Colorless,"['Colorless', 'Colorless', 'Colorless']","Rock Smash","Flip a coin. If heads, this attack does 30 more damage.","10+"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless']","Strength","","70"
Colorless,"['Colorless']","Upstream","Search your discard pile for all Energy cards. This attack does 10 damage times the number of Energy cards you find there. Show them to your opponent, and put them on top of your deck. Shuffle your deck afterward.","10\u00d7"
Colorless,"['Colorless', 'Colorless', 'Colorless']","Tail Slap","","60"
Colorless,"['Colorless', 'Colorless']","Jump On","Flip a coin. If heads, this attack does 20 more damage.","20+"
Colorless,"['Colorless', 'Colorless', 'Colorless']","Rollout","","60"
Colorless,"['Colorless', 'Colorless']","Tackle","","20"
Colorless,"['Colorless', 'Colorless']","Fairy Power","Return 1 of your Pok\u00e9mon and all cards attached to it to your hand.",""
Colorless,"['Colorless', 'Colorless']","Moon Impact","","40"
Colorless,"['Colorless', 'Colorless']","Ambush","Flip a coin. If heads, this attack does 20 damage plus 20 more damage.","20+"
Colorless,"['Colorless', 'Colorless']","Blessed Wings","Remove all damage counters from each of your Pok\u00e9mon. Shuffle Togekiss and all cards attached to it back into your deck.",""
Colorless,"['Colorless', 'Colorless', 'Colorless']","Air Cutter","Flip a coin. If tails, this attack does nothing.","80"
Colorless,"['Colorless', 'Colorless']","Incessant Peck","Flip a coin until you get tails. This attack does 20 damage plus 20 more damage for each heads.","20+"
Colorless,"['Colorless']","Accelerative Dive","Flip a coin. If tails, this attack does nothing. If heads, prevent all damage done to Staraptor by attacks (both yours and your opponent's) until the end of your next turn.","30"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless']","Brave Heart","Flip a coin. If tails, Staraptor does 100 damage to itself.","100"
Colorless,"['Colorless', 'Colorless']","Amnesia","Choose 1 of the Defending Pok\u00e9mon's attacks. That Pok\u00e9mon can't use that attack during your opponent's next turn.","20"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless']","Lazy Headbutt","Slaking is now Asleep.","70"
Colorless,"['Colorless']","Rest","Remove all Special Conditions and 4 damage counters from Bibarel. Bibarel is now Asleep.",""
Colorless,"['Colorless', 'Colorless', 'Colorless']","Take Down","Bibarel does 10 damage to itself.","60"
Colorless,"['Colorless']","Amnesia","Choose 1 of the Defending Pok\u00e9mon's attacks. That Pok\u00e9mon can't use that attack during your opponent's next turn.",""
Colorless,"['Colorless']","Scratch","","10"
Colorless,"['Colorless']","Healing Wish","Flip a coin until you get tails. Remove a number of damage counters equal to the number of heads from 1 of your Pok\u00e9mon.",""
Colorless,"['Colorless', 'Colorless', 'Colorless']","Flop","Does 20 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.) You may switch Lopunny with 1 of your Benched Pok\u00e9mon.","30"
Colorless,"['Fire', 'Fire', 'Lightning', 'Lightning']","Inferno Spear","Discard a Fire Energy and a Lightning Energy attached to Rayquaza.","100"
Colorless,"['Colorless']","Heave","Discard 2 cards from your hand. (If you can't discard 2 cards, this attack does nothing.) Flip 2 coins. This attack does 30 damage times the number of heads.","30\u00d7"
Colorless,"['Colorless', 'Colorless']","Gust","","20"
Colorless,"['Colorless', 'Colorless', 'Colorless']","Twister","Flip 2 coins. If both of them are tails, this attack does nothing. For each heads, discard an Energy attached to the Defending Pok\u00e9mon.","30"
Colorless,"['Colorless', 'Colorless']","Scratch","","30"
Colorless,"['Colorless', 'Colorless']","Blow Through","If there is any Stadium card in play, this attack does 30 more damage.","30+"
