type,cost,name,text,damage
Grass,"['Grass']","Absorb","Remove 1 damage counter from Turtwig.","10"
Grass,"['Grass', 'Colorless', 'Colorless']","Parboil","If you have Chimchar in play, this attack does 40 damage plus 20 more damage and the Defending Pok\u00e9mon is now Burned.","40+"
Grass,"['Grass']","Windmill","Switch this Pok\u00e9mon with 1 of your Benched Pok\u00e9mon.","20"
Grass,"['Grass', 'Colorless']","Flower Tornado","Move as many Grass Energy attached to your Pok\u00e9mon to your other Pok\u00e9mon in any way you like.","60"
Grass,"['Grass', 'Grass']","Take Down","This Pok\u00e9mon does 10 damage to itself.","30"
Grass,"['Colorless']","Tackle","","10"
Grass,"['Grass', 'Colorless']","Selfdestruct","This attack does 10 damage to each Benched Pok\u00e9mon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.) Pineco does 50 damage to itself.","40"
Grass,"['Grass']","Leaf Shade","Count the amount of Energy attached to Celebi Star. Put that many damage counters on 1 of your opponent's Pok\u00e9mon.",""
Grass,"['Grass', 'Grass', 'Colorless', 'Colorless']","Poison Powder","The Defending Pok\u00e9mon is now Poisoned.","70"
Grass,"['Grass']","String Shot","Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.","10"
Grass,"['Grass']","Lure Poison","Switch the Defending Pok\u00e9mon with 1 of your opponent's Benched Pok\u00e9mon. The new Defending Pok\u00e9mon is now Poisoned.",""
Grass,"['Grass', 'Grass', 'Colorless']","Spit Squall","Your opponent puts the Defending Pok\u00e9mon and all cards attached to it into his or her hand.",""
Grass,"['Colorless']","Quick Attack","Flip a coin. If heads, this attack does 30 more damage.","10+"
Grass,"['Grass', 'Colorless']","Energy Assist","Attach a basic Energy card from your discard pile to 1 of your Benched Pok\u00e9mon.","40"
Grass,"['Grass', 'Colorless']","Cut","","30"
Grass,"['Grass', 'Colorless', 'Colorless']","Heavy Bullet","Flip a coin. If heads, this attack does 20 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","70"
