type,cost,name,text,damage
Lightning,"['Lightning', 'Colorless']","Magnetic Force","Does 10 damage times the amount of Energy attached to all of your Pok\u00e9mon (including Magneton).","10\u00d7"
Lightning,"['Colorless']","Thunder Rod","Look at the top 4 cards of your deck and attach as many Lightning Energy cards you find there as you like to this Pok\u00e9mon. Shuffle the other cards back into your deck.",""
Lightning,"['Lightning', 'Lightning', 'Colorless', 'Colorless']","Sparkling Tail","This attack's damage isn't affected by Weakness, Resistance, or any other effects on your opponent's Active Pok\u00e9mon.","100"
Lightning,"['Lightning', 'Lightning', 'Lightning', 'Colorless']","Giga Impact","You may discard all\u00a0 Lightning Energy attached to Electivire. If you do, this attack's base damage is 120 instead of 60.","60"
Lightning,"['Lightning', 'Lightning', 'Lightning', 'Lightning']","Lightning Star","Move all Lightning Energy attached to Luxray to 1 of your Benched Pok\u00e9mon. (Ignore this effect if you don't have any Benched Pok\u00e9mon.)","80"
Lightning,"['Colorless', 'Colorless']","Tackle","","20"
Lightning,"['Lightning', 'Colorless']","Magnetism","Does 10 damage plus 10 more damage for each Magnemite, Magneton, and Dark Magneton on your Bench.","10+"
Lightning,"['Colorless']","Electrigun","You may discard a Lightning Energy attached to this Pok\u00e9mon. If you do, this attack does 40 more damage.","20+"
Lightning,"['Lightning', 'Colorless', 'Colorless']","Pin Missile","Flip 4 coins. This attack does 40 damage times the number of heads.","40\u00d7"
Lightning,"['Lightning']","Positive Ion","Flip a coin. If heads, this attack does 10 damage plus 10 more damage.","10+"
Lightning,"['Colorless', 'Colorless']","Negative Ion","During your opponent's next turn, any damage done by attacks from the Defending Pok\u00e9mon is reduced by 10 (before applying Weakness and Resistance).","10"
Lightning,"['Lightning', 'Colorless']","Thunder Fang","Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.","30"
Lightning,"['Lightning', 'Lightning', 'Colorless']","Volt Bolt","Discard all Lightning Energy attached to this Pok\u00e9mon. This attack does 100 damage to 1 of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Lightning,"['Colorless']","Headbutt","","20"
Lightning,"['Lightning', 'Lightning', 'Colorless']","Shock Bolt","Discard all Lightning Energy attached to this Pok\u00e9mon.","80"
Lightning,"['Colorless']","Ram","","10"
Lightning,"['Lightning', 'Colorless']","Spark","Does 10 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","20"
Lightning,"['Lightning', 'Lightning', 'Lightning']","Plasma Slice","This Pok\u00e9mon can't attack during your next turn.","120"
Lightning,"['Colorless']","Minor Errand-Running","Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.",""
Lightning,"['Lightning']","Thunder Jolt","Flip a coin. If tails, Pachirisu does 10 damage to itself.","20"
Lightning,"['Lightning']","Recharge","Search your deck for a Lightning Energy card and attach it to Electrike. Shuffle your deck afterward.",""
Lightning,"['Colorless', 'Colorless']","Quick Attack","Flip a coin. If heads, this attack does 10 damage plus 20 more damage.","10+"
Lightning,"['Lightning']","Shock Generator","Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.",""
Lightning,"['Colorless', 'Colorless']","Lightning Ball","","20"
Lightning,"['Colorless', 'Colorless']","Slam","Flip 2 coins. This attack does 20 damage times the number of heads.","20\u00d7"
Lightning,"['Lightning', 'Colorless', 'Colorless']","Dragon Rage","","40"
Lightning,"['Lightning']","Thunder Spear","Choose 1 of your opponent's Pok\u00e9mon. This attack does 20 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Lightning,"['Lightning', 'Colorless', 'Colorless']","Thundershock","Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.","40"
Lightning,"['Lightning']","Thunder Wave","Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.","10"
Lightning,"['Lightning']","Thundershock","Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.","10"
Lightning,"['Lightning', 'Colorless']","Thunderpunch","Flip a coin. If heads, this attack does 30 damage plus 10 more damage. If tails, Electabuzz does 10 damage to itself.","30+"
Lightning,"['Lightning', 'Lightning']","Shock Wave","Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed. If Electabuzz is evolved from Elekid, this attack does 20 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","20"
Lightning,"['Lightning']","Thunder Spear","Choose 1 of your opponent's Pok\u00e9mon. This attack does 20 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Lightning,"['Colorless', 'Colorless', 'Colorless']","Magnetic Tackle","You may do 40 damage plus 10 more damage for each Lightning Energy attached to Manectric. If you do, Manectric does 10 damage to itself.","40+"
Lightning,"['Colorless']","Cheer On","Remove 1 damage counter from each of your Pok\u00e9mon (including Minun).",""
Lightning,"['Lightning', 'Colorless']","Special Circuit","Choose 1 of your opponent's Pok\u00e9mon. This attack does 20 damage to that Pok\u00e9mon. If you choose Pok\u00e9mon that has a Pok\u00e9-Power or Pok\u00e9-Body, this attack does 40 damage instead. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Lightning,"['Colorless']","Cheer On","Remove 1 damage counter from each of your Pok\u00e9mon (including Plusle).",""
Lightning,"['Lightning', 'Colorless']","Extra Circuit","Choose 1 of your opponent's Pok\u00e9mon. This attack does 20 damage to that Pok\u00e9mon. If you choose Pok\u00e9mon-ex, this attack does 40 damage instead. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Lightning,"['Lightning', 'Colorless', 'Colorless']","Agility","Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Raichu.","20"
Lightning,"['Lightning', 'Lightning', 'Lightning', 'Colorless']","Thunder","Flip a coin. If tails, Raichu does 30 damage to itself.","60"
Lightning,"['Lightning', 'Colorless']","Magnetic Force","Does 10 damage times the amount of Energy attached to all of your Pok\u00e9mon (including Magneton).","10\u00d7"
Lightning,"['Lightning', 'Lightning', 'Colorless']","Mega Thunderbolt","Discard all Energy attached to Raichu.","120"
Lightning,"['Lightning', 'Colorless']","Thunder Shock","Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.","30"
Lightning,"['Lightning', 'Lightning', 'Colorless']","Mega Thunderbolt","Discard all Energy attached to this Pok\u00e9mon.","160"
