type,cost,name,text,damage
Psychic,"['Free']","Show Off","Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.",""
Psychic,"['Psychic']","Payback","If your opponent has only 1 Prize card left, this attack does 10 damage plus 20 more damage.","10+"
Psychic,"['Darkness']","Peck","","10"
Psychic,"['Darkness', 'Colorless']","Hard Bite","Flip a coin. If heads, this attack does 20 more damage.","40+"
Psychic,"['Psychic', 'Psychic', 'Colorless']","Hard Feelings","Put 5 damage counters on the Defending Pok\u00e9mon. Then, count the number of Prize cards your opponent has taken and put that many damage counters on the Defending Pok\u00e9mon.",""
Psychic,"['Darkness']","Corner","The Defending Pok\u00e9mon can't retreat during your opponent's next turn.",""
Psychic,"['Colorless', 'Colorless']","Ambush","Flip a coin. If heads, this attack does 10 damage plus 20 more damage.","10+"
Psychic,"['Colorless']","Hidden Power","","10"
Psychic,"['Psychic', 'Psychic', 'Psychic']","Cell Storm","Discard 2 Psychic Energy attached to Deoxys and remove 6 damage counters from Deoxys.","60"
Psychic,"['Psychic']","Solar Suggestion","Move up to 4 damage counters from any of your Pok\u00e9mon to any of your opponent's Pok\u00e9mon in any way you like.",""
Psychic,"['Psychic', 'Colorless']","Psybeam","Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.","30"
Psychic,"['Colorless']","Pound","","10"
Psychic,"['Psychic', 'Psychic']","Confuse Ray","Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.","10"
Psychic,"['Psychic']","Psybeam","Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.","10"
Psychic,"['Colorless', 'Colorless']","Spinning Attack","","20"
Psychic,"['Psychic']","Psychic Removal","Flip 2 coins. If both of them are heads, discard all Energy attached to the Defending Pok\u00e9mon.","20"
Psychic,"['Psychic', 'Psychic', 'Colorless']","Powerful Hand","Count the number of cards in your hand. Put that many damage counters on the Defending Pok\u00e9mon. You can't put more than 7 damage counters in this way.",""
Psychic,"['Darkness', 'Darkness']","Frustration","Choose 1 of your opponent's Pok\u00e9mon that doesn't have any damage counters on it. This attack does 30 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Psychic,"['Darkness', 'Darkness', 'Colorless']","Toxic Cloud","Flip a coin. If heads, the Defending Pok\u00e9mon is now Poisoned. Put 2 damage counters instead of 1 on the Defending Pok\u00e9mon between turns.","30"
Psychic,"['Colorless']","Extra Curse","Put 2 damage counters on the Defending Pok\u00e9mon. If the Defending Pok\u00e9mon is Pok\u00e9mon-ex, put 4 damage counters instead.",""
Psychic,"['Colorless']","Transfer Pain","Move 1 damage counter from 1 of your Pok\u00e9mon to 1 of your opponent's Pok\u00e9mon.",""
Psychic,"['Psychic', 'Colorless']","Balloon Tackle","Drifblim does 20 damage to itself.","60"
Psychic,"['Colorless', 'Colorless', 'Colorless']","Take Away","Shuffle Drifblim and all cards attached to it back into your deck. Then, your opponent shuffles the Defending Pok\u00e9mon and all cards attached to it into his or her deck. (You choose your new Active Pok\u00e9mon first.)",""
Psychic,"['Colorless', 'Colorless', 'Colorless']","Power Lariat","This attack does 50 more damage for each Evolution Pok\u00e9mon on your Bench.","10+"
Psychic,"['Colorless', 'Colorless']","Stomp","Flip a coin. If heads, this attack does 20 damage plus 20 more damage.","20+"
Psychic,"['Psychic', 'Psychic', 'Colorless']","Poison Claws","The Defending Pok\u00e9mon is now Poisoned.","50"
Psychic,"['Colorless', 'Colorless']","Chuck","Discard as many Pok\u00e9mon Tool cards as you like from your hand. This attack does 40 damage times the number of cards you discarded.","40\u00d7"
Psychic,"['Psychic', 'Psychic']","Lock Up","The Defending Pok\u00e9mon can't retreat during your opponent's next turn.","40"
Psychic,"['Darkness']","Double Kick","Flip 2 coins. This attack does 10 damage times the number of heads.","10\u00d7"
Psychic,"['Colorless']","Peck","","10"
Psychic,"['Psychic', 'Colorless']","Horn Attack","","20"
Psychic,"['Colorless']","Peck","","20"
Psychic,"['Psychic', 'Colorless', 'Colorless']","Horn Drill","","60"
Psychic,"['Colorless', 'Colorless']","Mud-Slap","","30"
Psychic,"['Darkness', 'Darkness', 'Colorless', 'Colorless']","Corkscrew Punch","","70"
Psychic,"['Colorless', 'Colorless']","Whirlwind","Your opponent switches the Defending Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.","20"
Psychic,"['Darkness', 'Darkness']","Blindside","Choose 1 of your opponent's Pok\u00e9mon that has any damage counters on it. This attack does 50 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Psychic,"['Darkness', 'Colorless']","Shadow Bind","The Defending Pok\u00e9mon can't retreat during your opponent's next turn.","30"
Psychic,"['Darkness', 'Colorless', 'Colorless']","Vengeance","Does 10 damage plus 10 more damage for each Darkness Pok\u00e9mon in your discard pile.","10+"
Psychic,"['Darkness']","Ascension","Search your deck for a card that evolves from this Pok\u00e9mon and put it onto this Pok\u00e9mon. (This counts as evolving this Pok\u00e9mon.) Shuffle your deck afterward.",""
Psychic,"['Colorless', 'Colorless']","Scratch","","20"
Psychic,"['Darkness', 'Colorless']","Slash","","30"
Psychic,"['Darkness', 'Colorless', 'Colorless']","Fury Cutter","Flip 3 coins. If 1 of them is heads, this attack does 10 more damage. If 2 of them are heads, this attack does 30 more damage. If all of them are heads, this attack does 60 more damage.","30+"
Psychic,"['Darkness', 'Colorless']","Feint Attack","Choose 1 of your opponent's Pok\u00e9mon. This attack does 30 damage to that Pok\u00e9mon. This attack's damage isn't affected by Weakness, Resistance, Pok\u00e9-Powers, Pok\u00e9-Bodies, or any other effects on that Pok\u00e9mon.",""
Psychic,"['Psychic']","Paralyze Poison","The Defending Pok\u00e9mon is now Poisoned. Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed and Poisoned.","20"
Psychic,"['Psychic', 'Colorless', 'Colorless']","Slash","","60"
Psychic,"['Psychic']","Hidden Power","Each player discards the top card of his or her deck. This attack does 20 damage plus 20 more damage for each Unown discarded in this way.","20+"
Psychic,"['Darkness', 'Colorless']","Psychic Pulse","Does 10 damage to each of your opponent's Benched Pok\u00e9mon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","30"
Psychic,"['Darkness']","Skill Hack","Look at your opponent's hand and choose a Basic Pok\u00e9mon or Evolution card you find there. Choose 1 of that Pok\u00e9mon's attacks. Skill Hack copies that attack except for its Energy cost. (You must still do anything else required for that attack.) (No matter what type that Pok\u00e9mon is, Shiftry ex's type is still Darkness.) Shiftry ex performs that attack.",""
Psychic,"['Darkness', 'Colorless', 'Colorless']","Dirge","Does 60 damage to each of your opponent's Benched Pok\u00e9mon that has the same name as the Defending Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","60"
Psychic,"['Darkness']","Nasty Plot","Search your deck for any 1 card and put it into your hand. Shuffle your deck afterward.",""
Psychic,"['Darkness', 'Darkness', 'Darkness']","Dark Pulse","Does 10 damage times the total amount of Darkness Energy attached to all of your Pok\u00e9mon.","10\u00d7"
Psychic,"['Colorless', 'Colorless']","Drag Off","Switch 1 of your opponent's Benched Pok\u00e9mon with their Active Pok\u00e9mon. This attack does 50 damage to the new Active Pok\u00e9mon.",""
Psychic,"['Psychic', 'Colorless', 'Colorless']","King's Drum","If Nidoqueen is on your Bench, this attack does 100 more damage.","100+"
Psychic,"['Free']","Astonish","Choose 1 card from your opponent's hand without looking. Look at the card you chose, then have your opponent shuffle that card into his or her deck.",""
Psychic,"['Colorless']","Wrap","Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.","10"
Psychic,"['Colorless']","Void Tentacles","Your opponent's Active Pok\u00e9mon is now Confused and Poisoned.",""
Psychic,"['Psychic', 'Colorless', 'Colorless']","Paranormal","During your opponent's next turn, prevent all damage done to this Pok\u00e9mon by attacks from Ultra Beasts.","70"
Psychic,"['Colorless']","Pound","","10"
Psychic,"['Darkness', 'Colorless']","Delta Fang","If the Defending Pok\u00e9mon is Pok\u00e9mon-ex, that Pok\u00e9mon can't attack during your opponent's next turn.","20"
Psychic,"['Metal', 'Colorless']","Gang Up","Does 10 damage times the number of Darkness Pok\u00e9mon and Metal Pok\u00e9mon you have in play.","10\u00d7"
Psychic,"['Psychic']","Toxic Secretion","Your opponent's Active Pok\u00e9mon is now Poisoned. Put 2 damage counters instead of 1 on that Pok\u00e9mon between turns.","40"
Psychic,"['Psychic']","Sludge Drag","Switch the Defending Pok\u00e9mon with 1 of your opponent's Benched Pok\u00e9mon. The new Defending Pok\u00e9mon is now Confused and Poisoned.",""
